average_gas_used,average_value_sent,days_active,days_since_last_transactions,from,transaction_count,unique_address,value_sent,wallet_age_days,cluster,agg_cluster_labels,dbscan_cluster,mb_kmeans_cluster,churn_risk,user_tier,engagement_diversity
494440.2794117649,0.0221009878999175,26,0,0x89b6bda40966d2abe4c61e453e9acfb38f1c3b76,204,18,4.508601531583173,4,1.0,0,1,1,Low Risk,Casual,Moderate Diversity
156346.24019607832,0.0043385594078302,31,0,0xe280e4288efa47812ddb4b45c00ea4b70ebbaa8a,204,16,0.8850661191973782,3,0.0,0,1,1,Low Risk,Casual,Moderate Diversity
23524.392156862752,0.063412044117647,5,0,0x83132d134f06d40741483e47475f93020762bffb,204,101,12.936057000000003,29,0.0,4,3,0,Low Risk,Casual,High Diversity
201843.9803921569,0.0020715305503551,30,0,0x1c7a8849a34373f6ba3d8a19267a1ac2831275c9,204,16,0.4225922322724457,4,0.0,0,1,1,Low Risk,Casual,Moderate Diversity
175157.7892156863,1.8183555883724123,16,0,0x5556dcede0eb479c51fc73e7913a055666e34854,204,48,370.94454002797215,4,0.0,0,1,1,Low Risk,Regular,Moderate Diversity
23536.827586206902,0.1174372315270936,4,0,0x6b25c0b44747bffee1f3971b36196d1396b28aa1,203,199,23.83975800000001,30,0.0,4,3,0,Low Risk,Casual,High Diversity
267361.4039408863,5.081057866143533,26,0,0xc9328efdd19864fef8820d21596574c3d5587403,203,13,1031.4547468271371,4,0.0,0,1,1,Low Risk,Power User,Low Diversity
116366.60098522171,3.612940262832076,25,0,0x608d4d22e53cd8f6e16f86267b570549348f7e45,203,20,733.4268733549114,4,0.0,0,1,1,Low Risk,Regular,Moderate Diversity
91088.62068965503,8.822660098522167,23,1,0xfdb532d9c2603731127414d9b087910a4e942647,203,15,1791.0,7,0.0,0,1,1,Low Risk,Power User,Low Diversity
185680.05911330052,1.5739689248096518,30,0,0xb87f911339ca78dd466c5f2d5d4abc79fb067939,203,17,319.5156917363593,4,0.0,0,1,1,Low Risk,Regular,Moderate Diversity
88206.0197044337,8.285714285714286,14,7,0x330c6417f202faf4c39cee71c8f911be4cf607ed,203,7,1682.0,5,0.0,1,1,4,Medium Risk,Power User,Low Diversity
582321.1871921184,56.23843943014796,30,0,0xadb275e90cc1b81e1c4355742e4689b133f8b685,203,19,11416.403204320037,4,0.0,2,2,2,Low Risk,Whale,Moderate Diversity
365964.3201970442,0.6366441054086841,30,0,0xea97f0e3e6776c9bebd1d969feb81facfa4b0630,203,22,129.23875339796288,3,1.0,0,1,1,Low Risk,Regular,Moderate Diversity
171613.30049261072,0.4932608785324963,12,2,0x62adb8f535a19c1fdf24f86f6eba50857d37fa3e,203,9,100.13195834209677,5,1.0,1,1,4,Low Risk,Regular,Low Diversity
170952.34975369484,137.54304926108375,7,1,0xde68b3cfaf254a5f776acbc47e205904d794ec60,203,11,27921.239,5,0.0,2,-1,2,Low Risk,Whale,Low Diversity
90609.92118226622,14.91212938119704,12,7,0x3da5634d594a4b1629dcaa9e07faf68e85152fe8,203,5,3027.1622643829987,6,1.0,1,1,4,Medium Risk,Power User,Single Game
23536.827586206902,0.1187154845526423,4,0,0x5e22570a08be601cd5df6578d062fbe53a91e155,203,200,24.099243364186396,30,1.0,4,3,0,Low Risk,Casual,High Diversity
182372.1576354681,0.0089078803893013,30,0,0x7b0c9d9b4ed5f2531720e6ae90382bddcffd46da,203,19,1.808299719028173,4,0.0,0,1,1,Low Risk,Casual,Moderate Diversity
250918.58620689667,0.0563524072937419,30,0,0x679c6d2c6d1c5ee03bf7333f09ea652cdcff18df,203,16,11.43953868062962,4,0.0,0,1,1,Low Risk,Casual,Moderate Diversity
176926.3118811881,0.6747208306593788,30,0,0x05a90f3d56bc2430c712f8d8fa499ee13023ba54,202,25,136.29360779319452,4,0.0,0,1,1,Low Risk,Regular,Moderate Diversity
113470.38613861398,2.643351294075212,25,0,0xf339e2e2408c602fe1e143d9998388fd66398100,202,12,533.9569614031927,4,0.0,0,1,1,Low Risk,Regular,Low Diversity
87331.91089108905,47.42893661868559,11,6,0xbd471259f0add0b8e11e0710cdace54ccc43642d,202,8,9580.645196974488,6,0.0,2,2,2,Medium Risk,Whale,Low Diversity
102686.5940594061,14.15940594059406,13,5,0x35b4c48a6e6f6440584882cde11c909a62792e3c,202,8,2860.2,5,1.0,1,1,4,Medium Risk,Power User,Low Diversity
130836.68316831705,5.920792079207921,30,0,0x3ea350208c2329938faf659ba3ec1ea0e75a8a83,202,36,1196.0,4,0.0,0,1,1,Low Risk,Power User,Moderate Diversity
178869.31683168313,16.616858519088588,30,0,0xf5188f411dd7ddedc7b86ea9dec51d93e41a19f7,202,20,3356.6054208558944,4,1.0,0,1,1,Low Risk,Power User,Moderate Diversity
89350.35148514863,9.232178217821785,15,5,0x903db96d3c4d13f5d7e9a9d3b95b5076666cd75f,202,8,1864.9,5,4.0,1,1,4,Medium Risk,Power User,Low Diversity
322118.4752475248,47.810425425618085,16,8,0xeed0491b506c78ea7fd10988b1e98a3c88e1c630,202,26,9657.705935974853,7,0.0,2,-1,2,High Risk,Whale,Moderate Diversity
57682.5495049505,0.0,30,0,0xb2f7839eada0748e371790f5cee4a58770eebc95,202,1,0.0,4,0.0,0,1,1,Low Risk,Casual,Single Game
172459.50495049506,1.5401822429815184,27,0,0x793febc7e3fc87cce055b62ac9077ff737d9fe41,202,20,311.1168130822668,4,4.0,0,1,1,Low Risk,Regular,Moderate Diversity
74139.43564356433,0.0,26,0,0xbf091fd4fcefd18b03260cd5025bea6a8b8c7af9,202,2,0.0,4,3.0,0,1,1,Low Risk,Casual,Single Game
92446.25247524773,20.780198019801983,14,5,0x399d0a71edd0ee7c67e0300817110c7ec31d2829,202,9,4197.6,7,0.0,1,1,4,Medium Risk,Power User,Low Diversity
233451.47029702962,0.0,20,11,0x8f5eafb1ce87dd4efc00b38370270fc621b4c488,202,1,0.0,3,0.0,1,1,3,High Risk,Casual,Single Game
291039.9702970294,5.8013453880839485,30,0,0xe2447791f925c978820ca3d94c49ff756edddd83,202,14,1171.8717683929576,4,0.0,0,1,1,Low Risk,Power User,Low Diversity
141957.9851485149,0.0084945048783741,29,0,0x72949a73b32697dd7cfd5569ae70ff42eb4daab7,202,21,1.715889985431586,4,1.0,0,1,1,Low Risk,Casual,Moderate Diversity
306023.425742575,0.0502732536987472,23,7,0x977623f2f9554cb55cff19efd87cfb09300086d9,202,3,10.15519724714694,4,0.0,1,1,4,Medium Risk,Casual,Single Game
134569.19801980202,1.4346530829363855,23,2,0xa350ee933056dc1b5dbc91b096b9b266eb7a7503,202,17,289.79992275315,4,0.0,0,1,1,Low Risk,Regular,Moderate Diversity
136327.16336633667,0.0222697823462046,30,0,0x963cece281a06a16277d013aafa255c0b422d747,202,19,4.498496033933347,4,0.0,0,1,1,Low Risk,Casual,Moderate Diversity
233891.47524752468,0.0,20,11,0x162987535f5fea0420638020636df4839bf59743,202,1,0.0,3,0.0,1,1,3,High Risk,Casual,Single Game
241282.32178217798,4.582245088234706,27,0,0xe987c94be21f1bf7d6eacb4bb4ac92a1ed937724,202,23,925.6135078234108,3,0.0,0,1,1,Low Risk,Regular,Moderate Diversity
161647.8069306931,0.0043880668167398,30,0,0x7d64661ccf0312ec3fcbb987fd9c90c4404a3ca1,202,18,0.8863894969814454,4,0.0,0,1,1,Low Risk,Casual,Moderate Diversity
210794.8069306934,0.0431142591377914,30,0,0x991ded77edc6aef6dff9357a8db79c8b4ba479fc,202,15,8.709080345833877,4,0.0,0,1,1,Low Risk,Casual,Low Diversity
133887.30693069287,0.0199288916502889,27,0,0xb5b44f35cb6fb422c4bcb972313e2597fa31dd87,202,21,4.02563611335837,3,1.0,0,1,1,Low Risk,Casual,Moderate Diversity
74856.13861386155,0.0,20,0,0xe4507ccf34a67c9e0f6c5256461ac07b6cead4b6,202,2,0.0,4,0.0,0,1,1,Low Risk,Casual,Single Game
111121.29702970311,10.891883433224717,16,2,0x6018f371dfc2744ccfef6814d0096c4e195c1334,202,17,2200.1604535113925,5,0.0,1,1,4,Low Risk,Power User,Moderate Diversity
21000.000000000007,0.1200544260457885,1,2,0x13bdb73680916edf13e2357f187e033ec972a172,201,200,24.130939635203507,31,0.0,4,3,0,Low Risk,Casual,High Diversity
160625.46268656733,0.0082779210920195,30,0,0x3750352f437d6ef7b39a79cacdbec3e3e65af2b1,201,22,1.6638621394959263,4,4.0,0,1,1,Low Risk,Casual,Moderate Diversity
217033.8159203981,0.0149599651696526,30,0,0x5331f3f89b0674c2269f13eed85f523eaaf4e1e0,201,19,3.0069529991001778,4,1.0,0,1,1,Low Risk,Casual,Moderate Diversity
