average_gas_used,average_value_sent,days_active,days_since_last_transactions,from,transaction_count,unique_address,value_sent,wallet_age_days
2.8682656831815466e-14,2766.426647094597,31,0,0xb32e9a84ae0b55b8ab715e4ac793a61b277bafa3,22505,6393,62258431.6928639,4
3.7412175453634534e-14,0.011102308913621796,25,0,0x8b1ce6937f1381662286e146b95b66a32a886c9f,22154,711,245.96055167237728,4
3.635771189557343e-13,0.0,31,0,0x1bb730c6e0cdf9ba55046864e176f71189c96880,22025,1,0.0,4
3.704483324553864e-13,0.0,31,0,0xa3bb0fc43d48ccbed00b369209e90c93f439d353,22021,1,0.0,4
3.664385840864728e-13,0.0,31,0,0x314a42b05b7687b53a9e7c1af362ed929b4badca,22019,1,0.0,4
3.685520861231028e-13,0.0,31,0,0x2994bebe4d7d623fa59251c330fc66a0bec8c2b6,22015,1,0.0,4
4.9991080447031715e-14,0.019271265804495823,27,1,0x957790a83f61cccc95bc42fd3b087c2a675e4ac6,21654,1705,417.29998973055257,4
3.727717523044183e-14,0.012766991396461926,28,0,0x66bb73d055a767dcb8fdee3366422d7ec8d1c459,21155,1197,270.08570299215205,4
1.5311919994204344e-13,93.33043562252487,17,0,0xbd39151d39373241ef509862a151508421efd89a,20706,7,1932500.0,4
3.5019138204990913e-13,0.024779244321427148,31,0,0xca54a1700e0403dcb531f8db4ae3847758b90b01,19699,2,488.12633388779335,4
9.301490631035241e-14,0.0,31,0,0x13b12bbaebd61e0079a09b74659eb4842fc7345d,18636,2,0.0,4
4.431535953958e-14,5.4294711695080895e-06,19,11,0x94bc1d40ad77df0efc7943fa6402cfcd89102fbb,18418,10,0.09999999999999999,4
9.30110499318468e-14,0.0,31,0,0x1567da55062cd8ec6ee33b4be84d07e821021beb,18345,2,0.0,4
9.31543728239958e-14,0.0,31,0,0xbaf571bc24c372fe981cfb62b5a8e63ada50808e,18325,2,0.0,4
9.28446205537769e-14,0.0,31,0,0xab0f2c2086651d3ab1ea1a0723b41e8de2a6f593,18274,2,0.0,4
2.7800305157559946e-12,0.027969600482271057,13,17,0x05da4fbba2f2ae5076017f5b0318c9ce5188737c,18247,11,510.36129999999997,4
3.7081492403152075e-14,0.004898776834437875,30,0,0xedbb2ff82fa4a4f9e933fcee50278870acddf773,17244,619,84.47450773304672,4
1.4099738422896646e-13,0.0,31,0,0x1d3286a3348fa99852d147c57a79045b41c4f713,17120,1,0.0,4
2.1052395577993974e-14,0.09982576303770634,12,6,0xb7b4a38277fba14ff15e8fc214ff4286dc66605b,16644,16618,1661.4999999995844,6
2.348901079013874e-13,0.0,6,22,0x911ade3ab1a6b18075db3032f0f76b0db60d1f1c,16339,1,0.0,5
4.6512010114965256e-14,0.004326369450155873,29,0,0x4b42c399bdd0d8e2e9c7399947b3701e3b829c13,15917,1202,68.86282253813103,4
2.1000000000006512e-14,0.009993167540962675,1,28,0xa3f15b83ee7d955b2cc0b5eb5f88cca9b49bab77,15441,10625,154.30450000000465,5
3.983878726023795e-14,0.005554672837525345,31,0,0xaa394165cebaa2990c5e29bd9cc0b3e0a9e0c382,15432,708,85.71971122869112,4
7.060176271743728e-14,0.0,6,3,0x98faa7cf0901c62e296b47f5fe09a19a7c49418e,15235,2,0.0,16
7.068753494183227e-14,0.0,6,3,0x915d92b25b5771fff77b93f9ff673f67256e1664,15211,1,0.0,16
7.06463572473511e-14,0.0,6,3,0x038ed851321330b818ba4f5b9a80d4e39e2f0bd2,15040,1,0.0,16
7.057966955422139e-14,0.0,6,3,0xd9a1d9f9c4c688f7f7eedbad8359dc01c5d40cf7,15007,1,0.0,16
4.658595010266706e-13,0.0,31,0,0x7f077ca14ebfa4baa15e6a58989e408be94024d0,14610,6,0.0,4
3.720455662348617e-14,0.29909362751816265,27,0,0xd6b00b086668314731880290e00b435d8af7068e,14358,779,4294.38630390578,4
3.013795738894522e-14,0.0041371591530944924,31,0,0x0d1bb6d68c31bd64e62c512d0294377afe3b4a23,14339,856,59.32272509622193,4
1.0562105848078945e-13,0.003659844174679209,31,0,0xb0ff037ea8b42bf908ca4f662d0e6bf870bf7eb8,14073,6,51.504987070260505,4
2.9919821232345076e-13,0.3509942109051595,31,0,0x84f877603fde9af5a08494526b4718c7fac5afda,12886,40,4522.911401723885,4
3.982428071685621e-14,0.003508198585297912,16,2,0xda35f97c7ddbffd78a08ee60570da8053ac3f8b5,12778,2190,44.82776152293672,4
2.142458258069892e-14,0.0026403105500495123,27,0,0xe2813aa97acb197f1ebbb5b9bf3fb1f6a9258938,12733,425,33.61907423378044,5
2.10906011136237e-14,0.0028430151821814235,27,0,0xc5be857c1bdc54126b250d7aee1f526d8589413f,12392,480,35.2306441375922,5
3.3612777137295946e-14,0.28555904840133073,22,6,0x76622dfae146bbf3caf9d64d17c84818938006c6,12317,621,3517.2307991591906,4
7.014007698014096e-14,0.0,6,3,0xf390c332106cfbcdc6c3ba9933ff01513e3bde9e,12133,2,0.0,16
4.217269905917235e-13,0.0,31,0,0xc4d26c6e040d7cf30df4a97659b87dc5028dbf5b,12117,3,0.0,4
3.274203541982679e-14,0.03241102655727448,17,2,0x9cb9d39367931c88002b99994273676519147fb2,11886,705,385.23746165976445,4
6.613072530993395e-14,1.4764367465879868e-05,30,0,0x5553eb65500ba2d7d16d3b7628518290a34860e7,11857,3,0.1750611050429376,4
4.5830296827535924e-14,0.056352239770216764,12,13,0x9cf5ff235bc146b7788923c235c3a787ab57844a,11852,1968,667.8867457566091,4
3.8309016575067196e-13,57.7254360144907,31,0,0xf70da97812cb96acdf810712aa562db8dfa3dbef,11463,466,661706.6730341068,4
7.701697124769683e-14,0.0,27,0,0xe500e441df4b3331884e8c8021093b00d264c3c9,11373,2,0.0,5
4.064118097274591e-14,0.005739905142750857,19,10,0xe616ae38ecec8c1635c4d38728f0c7aa9e7f9c57,10753,476,61.72119999999997,4
